hid,bid,token_count,token_sequence
52533,CA_201720180AB1647,17,BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER
52533,CA_201720180AB494,6,NONLEGISLATOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR
52533,CA_201720180AB754,4,BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
52583,CA_201720180AB1194,15,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR
52603,CA_201720180AB485,49,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> EXPERT -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> EXPERT -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> EXPERT -> COMMITTEE_MEMBER -> BILL_AUTHOR -> EXPERT -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
52603,CA_201720180AB1129,61,BILL_AUTHOR -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
52710,CA_201720180AB994,10,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC
54018,CA_201720180SB620,45,PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> BILL_AUTHOR -> SECRETARY -> COMMITTEE_MEMBER -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR
54156,CA_201720180SB549,103,BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> NONLEGISLATOR -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
54156,CA_201720180SB568,14,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PUBLIC
54156,CA_201720180SB63,41,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
54297,CA_201720180SB316,36,PRESIDING_CHAIR -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> BILL_AUTHOR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
54317,CA_201720180SB12,7,PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> NONLEGISLATOR
67636,CA_201720180SB5,47,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> BILL_AUTHOR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
253140,CA_201720180AB1052,28,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
254662,CA_201720180AB1903,3,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR
254662,CA_201720180AB2103,15,BILL_AUTHOR -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
254662,CA_201720180AB1976,19,BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
254712,CA_201720180AB2151,23,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR
254896,CA_201720180AB2741,17,BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR
254961,CA_201720180AB2394,13,PRESIDING_CHAIR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR
254961,CA_201720180AB2598,10,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR
255023,CA_201720180AB2299,16,PRESIDING_CHAIR -> BILL_AUTHOR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
255023,CA_201720180AB2942,6,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR
255094,CA_201720180AB1773,7,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR
255466,CA_201720180SB1079,13,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
255541,CA_201720180SB327,17,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
255541,CA_201720180SB1152,37,BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
255625,CA_201720180SB460,49,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> SECRETARY -> COMMITTEE_MEMBER -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
255659,CA_201720180SB939,10,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> EXPERT
255733,CA_201720180SB1121,34,PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
54061,CA_201720180AB427,23,PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> EXPERT -> BILL_AUTHOR -> EXPERT -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY
53000,CA_201720180AB1510,77,PRESIDING_CHAIR -> BILL_AUTHOR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PUBLIC -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PUBLIC -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
53000,CA_201720180AB1435,27,PRESIDING_CHAIR -> BILL_AUTHOR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
52842,CA_201720180AB1664,23,BILL_AUTHOR -> PRESIDING_CHAIR -> NONLEGISLATOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> NONLEGISLATOR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY
52842,CA_201720180AB755,23,PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> NONLEGISLATOR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR
254615,CA_201720180AB3110,31,PRESIDING_CHAIR -> BILL_AUTHOR -> NONLEGISLATOR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> BILL_AUTHOR -> EXPERT -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
254615,CA_201720180AB2388,14,PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR
254714,CA_201720180AB2936,17,PRESIDING_CHAIR -> NONLEGISLATOR -> EXPERT -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> EXPERT -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> EXPERT -> SECRETARY -> EXPERT
254714,CA_201720180AB1734,95,PRESIDING_CHAIR -> SECRETARY -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> EXPERT -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> PUBLIC -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> PRESIDING_CHAIR -> EXPERT -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> COMMITTEE_MEMBER -> PRESIDING_CHAIR -> COMMITTEE_MEMBER -> BILL_AUTHOR -> PRESIDING_CHAIR -> SECRETARY -> BILL_AUTHOR -> PRESIDING_CHAIR -> BILL_AUTHOR -> SECRETARY -> PRESIDING_CHAIR
